login_id,password,role,tokens
id_e_001,mock1234,expert,5000
id_e_002,mock1234,expert,5000
id_e_003,mock1234,expert,5000
id_e_004,mock1234,expert,5000
id_e_005,mock1234,expert,5000
id_e_006,mock1234,expert,5000
id_e_007,mock1234,expert,5000
id_e_008,mock1234,expert,5000
id_e_009,mock1234,expert,5000
id_e_010,mock1234,expert,5000
id_e_011,mock1234,expert,5000
id_e_012,mock1234,expert,5000
id_e_013,mock1234,expert,5000
id_e_014,mock1234,expert,5000
id_e_015,mock1234,expert,5000
id_e_016,mock1234,expert,5000
id_e_017,mock1234,expert,5000
id_e_018,mock1234,expert,5000
id_e_019,mock1234,expert,5000
id_e_020,mock1234,expert,5000
id_s_001,mock1234,student,10000
id_s_002,mock1234,student,10000
id_s_003,mock1234,student,10000
id_s_004,mock1234,student,10000
id_s_005,mock1234,student,10000
id_s_006,mock1234,student,10000
